,Item,Price Per Unit,Start_date,End_date
6,Item_16_FUR,27.5,2021-01-01,2026-12-31
11,Item_16_MILK,27.5,2021-01-01,2026-12-31
71,Item_16_PAT,27.5,2021-01-01,2026-12-31
147,Item_17_BEV,29.0,2021-01-01,2026-12-31
132,Item_17_BUT,29.0,2021-01-01,2026-12-31
141,Item_17_CEA,29.0,2021-01-01,2026-12-31
118,Item_17_EHE,29.0,2021-01-01,2026-12-31
137,Item_17_FOOD,29.0,2021-01-01,2026-12-31
106,Item_17_FUR,29.0,2021-01-01,2026-12-31
1,Item_17_MILK,29.0,2021-01-01,2026-12-31
12,Item_17_PAT,29.0,2021-01-01,2026-12-31
162,Item_18_BEV,30.5,2021-01-01,2026-12-31
90,Item_18_BUT,30.5,2021-01-01,2026-12-31
104,Item_18_CEA,30.5,2021-01-01,2026-12-31
173,Item_18_EHE,30.5,2021-01-01,2026-12-31
51,Item_18_FOOD,30.5,2021-01-01,2026-12-31
182,Item_18_FUR,30.5,2021-01-01,2026-12-31
157,Item_18_MILK,30.5,2021-01-01,2026-12-31
192,Item_18_PAT,30.5,2021-01-01,2026-12-31
82,Item_19_BEV,32.0,2021-01-01,2026-12-31
176,Item_19_BUT,32.0,2021-01-01,2026-12-31
113,Item_19_CEA,32.0,2021-01-01,2026-12-31
103,Item_19_EHE,32.0,2021-01-01,2026-12-31
196,Item_19_FOOD,32.0,2021-01-01,2026-12-31
178,Item_19_FUR,32.0,2021-01-01,2026-12-31
40,Item_19_MILK,32.0,2021-01-01,2026-12-31
148,Item_19_PAT,32.0,2021-01-01,2026-12-31
131,Item_1_BEV,5.0,2021-01-01,2026-12-31
122,Item_1_BUT,5.0,2021-01-01,2026-12-31
127,Item_1_CEA,5.0,2021-01-01,2026-12-31
112,Item_1_EHE,5.0,2021-01-01,2026-12-31
5,Item_1_FOOD,5.0,2021-01-01,2026-12-31
91,Item_1_FUR,5.0,2021-01-01,2026-12-31
87,Item_1_MILK,5.0,2021-01-01,2026-12-31
52,Item_1_PAT,5.0,2021-01-01,2026-12-31
83,Item_20_BEV,33.5,2021-01-01,2026-12-31
18,Item_20_BUT,33.5,2021-01-01,2026-12-31
56,Item_20_CEA,33.5,2021-01-01,2026-12-31
108,Item_20_EHE,33.5,2021-01-01,2026-12-31
57,Item_20_FOOD,33.5,2021-01-01,2026-12-31
151,Item_20_FUR,33.5,2021-01-01,2026-12-31
170,Item_20_MILK,33.5,2021-01-01,2026-12-31
138,Item_20_PAT,33.5,2021-01-01,2026-12-31
97,Item_21_BEV,35.0,2021-01-01,2026-12-31
70,Item_21_BUT,35.0,2021-01-01,2026-12-31
77,Item_21_CEA,35.0,2021-01-01,2026-12-31
24,Item_21_EHE,35.0,2021-01-01,2026-12-31
187,Item_21_FOOD,35.0,2021-01-01,2026-12-31
61,Item_21_FUR,35.0,2021-01-01,2026-12-31
85,Item_21_MILK,35.0,2021-01-01,2026-12-31
186,Item_21_PAT,35.0,2021-01-01,2026-12-31
30,Item_22_BEV,36.5,2021-01-01,2026-12-31
7,Item_22_BUT,36.5,2021-01-01,2026-12-31
46,Item_22_CEA,36.5,2021-01-01,2026-12-31
116,Item_22_EHE,36.5,2021-01-01,2026-12-31
47,Item_22_FOOD,36.5,2021-01-01,2026-12-31
54,Item_22_FUR,36.5,2021-01-01,2026-12-31
145,Item_22_MILK,36.5,2021-01-01,2026-12-31
21,Item_22_PAT,36.5,2021-01-01,2026-12-31
81,Item_23_BEV,38.0,2021-01-01,2026-12-31
29,Item_23_BUT,38.0,2021-01-01,2026-12-31
163,Item_23_CEA,38.0,2021-01-01,2026-12-31
110,Item_23_EHE,38.0,2021-01-01,2026-12-31
26,Item_23_FOOD,38.0,2021-01-01,2026-12-31
41,Item_23_FUR,38.0,2021-01-01,2026-12-31
80,Item_23_MILK,38.0,2021-01-01,2026-12-31
166,Item_23_PAT,38.0,2021-01-01,2026-12-31
159,Item_24_BEV,39.5,2021-01-01,2026-12-31
32,Item_24_BUT,39.5,2021-01-01,2026-12-31
45,Item_24_CEA,39.5,2021-01-01,2026-12-31
164,Item_24_EHE,39.5,2021-01-01,2026-12-31
84,Item_24_FOOD,39.5,2021-01-01,2026-12-31
62,Item_24_FUR,39.5,2021-01-01,2026-12-31
88,Item_24_MILK,39.5,2021-01-01,2026-12-31
10,Item_24_PAT,39.5,2021-01-01,2026-12-31
25,Item_25_BEV,41.0,2021-01-01,2026-12-31
119,Item_25_BUT,41.0,2021-01-01,2026-12-31
72,Item_25_CEA,41.0,2021-01-01,2026-12-31
125,Item_25_EHE,41.0,2021-01-01,2026-12-31
114,Item_25_FOOD,41.0,2021-01-01,2026-12-31
19,Item_25_FUR,41.0,2021-01-01,2026-12-31
183,Item_25_MILK,41.0,2021-01-01,2026-12-31
59,Item_25_PAT,41.0,2021-01-01,2026-12-31
100,Item_2_BEV,6.5,2021-01-01,2026-12-31
48,Item_2_BUT,6.5,2021-01-01,2026-12-31
89,Item_2_CEA,6.5,2021-01-01,2026-12-31
165,Item_2_EHE,6.5,2021-01-01,2026-12-31
9,Item_2_FOOD,6.5,2021-01-01,2026-12-31
96,Item_2_FUR,6.5,2021-01-01,2026-12-31
121,Item_2_MILK,6.5,2021-01-01,2026-12-31
149,Item_2_PAT,6.5,2021-01-01,2026-12-31
133,Item_3_BEV,8.0,2021-01-01,2026-12-31
8,Item_3_BUT,8.0,2021-01-01,2026-12-31
177,Item_3_CEA,8.0,2021-01-01,2026-12-31
198,Item_3_EHE,8.0,2021-01-01,2026-12-31
34,Item_3_FOOD,8.0,2021-01-01,2026-12-31
175,Item_3_FUR,8.0,2021-01-01,2026-12-31
92,Item_3_MILK,8.0,2021-01-01,2026-12-31
190,Item_3_PAT,8.0,2021-01-01,2026-12-31
53,Item_4_BEV,9.5,2021-01-01,2026-12-31
184,Item_4_BUT,9.5,2021-01-01,2026-12-31
120,Item_4_CEA,9.5,2021-01-01,2026-12-31
15,Item_4_EHE,9.5,2021-01-01,2026-12-31
64,Item_4_FOOD,9.5,2021-01-01,2026-12-31
146,Item_4_FUR,9.5,2021-01-01,2026-12-31
67,Item_4_MILK,9.5,2021-01-01,2026-12-31
66,Item_4_PAT,9.5,2021-01-01,2026-12-31
189,Item_5_BEV,11.0,2021-01-01,2026-12-31
144,Item_5_BUT,11.0,2021-01-01,2026-12-31
39,Item_5_CEA,11.0,2021-01-01,2026-12-31
130,Item_5_EHE,11.0,2021-01-01,2026-12-31
124,Item_5_FOOD,11.0,2021-01-01,2026-12-31
75,Item_5_FUR,11.0,2021-01-01,2026-12-31
174,Item_5_MILK,11.0,2021-01-01,2026-12-31
156,Item_5_PAT,11.0,2021-01-01,2026-12-31
86,Item_6_BEV,12.5,2021-01-01,2026-12-31
152,Item_6_BUT,12.5,2021-01-01,2026-12-31
95,Item_6_CEA,12.5,2021-01-01,2026-12-31
69,Item_6_EHE,12.5,2021-01-01,2026-12-31
4,Item_6_FOOD,12.5,2021-01-01,2026-12-31
158,Item_6_FUR,12.5,2021-01-01,2026-12-31
44,Item_6_MILK,12.5,2021-01-01,2026-12-31
23,Item_6_PAT,12.5,2021-01-01,2026-12-31
14,Item_7_BEV,14.0,2021-01-01,2026-12-31
111,Item_7_BUT,14.0,2021-01-01,2026-12-31
68,Item_7_CEA,14.0,2021-01-01,2026-12-31
101,Item_7_EHE,14.0,2021-01-01,2026-12-31
60,Item_7_FOOD,14.0,2021-01-01,2026-12-31
42,Item_7_FUR,14.0,2021-01-01,2026-12-31
179,Item_7_MILK,14.0,2021-01-01,2026-12-31
55,Item_7_PAT,14.0,2021-01-01,2026-12-31
33,Item_8_BEV,15.5,2021-01-01,2026-12-31
73,Item_8_BUT,15.5,2021-01-01,2026-12-31
78,Item_8_CEA,15.5,2021-01-01,2026-12-31
79,Item_8_EHE,15.5,2021-01-01,2026-12-31
168,Item_8_FOOD,15.5,2021-01-01,2026-12-31
98,Item_8_FUR,15.5,2021-01-01,2026-12-31
63,Item_8_MILK,15.5,2021-01-01,2026-12-31
142,Item_8_PAT,15.5,2021-01-01,2026-12-31
180,Item_9_BEV,17.0,2021-01-01,2026-12-31
199,Item_9_BUT,17.0,2021-01-01,2026-12-31
126,Item_9_CEA,17.0,2021-01-01,2026-12-31
171,Item_9_EHE,17.0,2021-01-01,2026-12-31
76,Item_9_FOOD,17.0,2021-01-01,2026-12-31
153,Item_9_FUR,17.0,2021-01-01,2026-12-31
136,Item_9_MILK,17.0,2021-01-01,2026-12-31
139,Item_9_PAT,17.0,2021-01-01,2026-12-31
